seed,shift_name,severity_name,scenario_parameters,method_name,alpha,abstention_policy,abstention_threshold,class,metric_name,metric_value
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,Ankle boot,average_set_size,0.971
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,Ankle boot,coverage,0.951
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,Bag,average_set_size,0.989
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,Bag,coverage,0.957
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,Coat,average_set_size,1.409
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,Coat,coverage,0.966
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,Dress,average_set_size,1.159
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,Dress,coverage,0.939
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,Pullover,average_set_size,1.423
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,Pullover,coverage,0.923
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,Sandal,average_set_size,0.971
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,Sandal,coverage,0.959
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,Shirt,average_set_size,1.437
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,Shirt,coverage,0.924
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,Sneaker,average_set_size,0.962
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,Sneaker,coverage,0.946
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,T-shirt/top,average_set_size,1.311
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,T-shirt/top,coverage,0.932
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,Trouser,average_set_size,0.99
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,Trouser,coverage,0.957
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.1,,,Ankle boot,average_set_size,0.904
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.1,,,Ankle boot,coverage,0.893
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.1,,,Bag,average_set_size,0.935
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.1,,,Bag,coverage,0.918
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.1,,,Coat,average_set_size,1.142
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.1,,,Coat,coverage,0.914
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.1,,,Dress,average_set_size,0.997
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.1,,,Dress,coverage,0.876
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.1,,,Pullover,average_set_size,1.155
