seed,shift_name,severity_name,scenario_parameters,method_name,alpha,abstention_policy,abstention_threshold,bin_index,lower_bound,upper_bound,sample_count,average_confidence,empirical_accuracy
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,0,0.0,0.1,0.0,,
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,1,0.1,0.2,0.0,,
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,2,0.2,0.3,1.0,0.2656581401824951,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,3,0.3,0.4,29.0,0.3682282197064367,0.2413793103448276
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,4,0.4,0.5,127.0,0.46092475540056005,0.4330708661417323
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,5,0.5,0.6,344.0,0.549833420923976,0.49709302325581395
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,6,0.6,0.7,411.0,0.6511468198467635,0.5742092457420924
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,7,0.7,0.8,466.0,0.7500944275712762,0.6587982832618026
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,8,0.8,0.9,631.0,0.8546692832902948,0.8050713153724247
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,9,0.9,1.0,7991.0,0.9913590700720953,0.9760981103741709
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",temperature_scaled,,,,0,0.0,0.1,0.0,,
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",temperature_scaled,,,,1,0.1,0.2,0.0,,
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",temperature_scaled,,,,2,0.2,0.3,7.0,0.27922447877270834,0.14285714285714285
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",temperature_scaled,,,,3,0.3,0.4,53.0,0.36907262397262286,0.2830188679245283
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",temperature_scaled,,,,4,0.4,0.5,187.0,0.4563882473637076,0.46524064171123
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",temperature_scaled,,,,5,0.5,0.6,475.0,0.5500978714541385,0.511578947368421
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",temperature_scaled,,,,6,0.6,0.7,516.0,0.6507576866898426,0.6317829457364341
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",temperature_scaled,,,,7,0.7,0.8,553.0,0.7528460952731196,0.7685352622061483
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",temperature_scaled,,,,8,0.8,0.9,732.0,0.8526990419365669,0.860655737704918
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",temperature_scaled,,,,9,0.9,1.0,7477.0,0.9890277826309332,0.9839507823993581
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",raw_softmax,,,,0,0.0,0.1,0.0,,
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",raw_softmax,,,,1,0.1,0.2,0.0,,
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",raw_softmax,,,,2,0.2,0.3,2.0,0.2803856134414673,0.5
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",raw_softmax,,,,3,0.3,0.4,47.0,0.36982729967604294,0.3829787234042553
