seed,shift_name,severity_name,scenario_parameters,method_name,alpha,abstention_policy,abstention_threshold,coverage,selective_risk,number_accepted,number_abstained
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.5,0.9016,0.0517968056787933,9016.0,984.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.6,0.8912,0.04667863554757634,8912.0,1088.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.7,0.8722,0.038981884888786955,8722.0,1278.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.8,0.8209,0.027043488853697117,8209.0,1791.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.9,0.7477,0.01604921760064193,7477.0,2523.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.95,0.6843,0.009791027327195723,6843.0,3157.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,singleton_conformal,,0.9088,0.05589788732394363,9088.0,912.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.1,hybrid,0.5,0.9627,0.073647034382466,9627.0,373.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.1,hybrid,0.6,0.9278,0.05820219874973054,9278.0,722.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.1,hybrid,0.7,0.8762,0.039945217986760984,8762.0,1238.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.1,hybrid,0.8,0.8209,0.027043488853697117,8209.0,1791.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.1,hybrid,0.9,0.7477,0.01604921760064193,7477.0,2523.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.1,hybrid,0.95,0.6843,0.009791027327195723,6843.0,3157.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.1,singleton_conformal,,0.9627,0.073647034382466,9627.0,373.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,hybrid,0.5,0.8139,0.025555965106278444,8139.0,1861.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,hybrid,0.6,0.8139,0.025555965106278444,8139.0,1861.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,hybrid,0.7,0.8139,0.025555965106278444,8139.0,1861.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,hybrid,0.8,0.8139,0.025555965106278444,8139.0,1861.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,hybrid,0.9,0.7477,0.01604921760064193,7477.0,2523.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,hybrid,0.95,0.6843,0.009791027327195723,6843.0,3157.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,singleton_conformal,,0.8139,0.025555965106278444,8139.0,1861.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",temperature_scaled,,confidence_threshold,0.5,0.9753,0.07915513175433198,9753.0,247.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",temperature_scaled,,confidence_threshold,0.6,0.9278,0.05820219874973054,9278.0,722.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",temperature_scaled,,confidence_threshold,0.7,0.8762,0.039945217986760984,8762.0,1238.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",temperature_scaled,,confidence_threshold,0.8,0.8209,0.027043488853697117,8209.0,1791.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",temperature_scaled,,confidence_threshold,0.9,0.7477,0.01604921760064193,7477.0,2523.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",temperature_scaled,,confidence_threshold,0.95,0.6843,0.009791027327195723,6843.0,3157.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",standard_conformal,0.05,hybrid,0.5,0.8929,0.04591779594579459,8929.0,1071.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",standard_conformal,0.05,hybrid,0.6,0.8773,0.03909723013792321,8773.0,1227.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",standard_conformal,0.05,hybrid,0.7,0.8553,0.033672395650648945,8553.0,1447.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",standard_conformal,0.05,hybrid,0.8,0.7983,0.022297381936615346,7983.0,2017.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",standard_conformal,0.05,hybrid,0.9,0.7165,0.01228192602930911,7165.0,2835.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",standard_conformal,0.05,hybrid,0.95,0.6478,0.007409694350108076,6478.0,3522.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",standard_conformal,0.05,singleton_conformal,,0.9037,0.051565785105676665,9037.0,963.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",standard_conformal,0.1,hybrid,0.5,0.948,0.064873417721519,9480.0,520.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",standard_conformal,0.1,hybrid,0.6,0.9088,0.049185739436619746,9088.0,912.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",standard_conformal,0.1,hybrid,0.7,0.8576,0.034748134328358216,8576.0,1424.0
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",standard_conformal,0.1,hybrid,0.8,0.7983,0.022297381936615346,7983.0,2017.0
