seed,shift_name,severity_name,scenario_parameters,method_name,alpha,abstention_policy,abstention_threshold,metric_name,metric_value
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,average_set_size,1.1622
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,coverage_gap,-0.0045999999999999375
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,empirical_coverage,0.9454
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,empty_set_rate,0.0151
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,median_set_size,1.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,multiclass_set_rate,0.1587
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,singleton_set_rate,0.8262
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.05,,,worst_class_coverage,0.923
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.1,,,average_set_size,1.0156
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.1,,,coverage_gap,-0.0040999999999999925
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.1,,,empirical_coverage,0.8959
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.1,,,empty_set_rate,0.0448
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.1,,,median_set_size,1.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.1,,,multiclass_set_rate,0.0601
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.1,,,singleton_set_rate,0.8951
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.1,,,worst_class_coverage,0.861
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,average_set_size,0.8686
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,coverage_gap,0.00979999999999992
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,empirical_coverage,0.8098
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,empty_set_rate,0.1315
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,median_set_size,1.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,multiclass_set_rate,0.0001
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,singleton_set_rate,0.8684
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",class_conditional_conformal,0.2,,,worst_class_coverage,0.761
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,accuracy,0.9084
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,accuracy_confidence_gap,-0.025303641015291256
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,brier_score,0.13330935357726484
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_0_pred_0,883.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_0_pred_1,1.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_0_pred_2,14.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_0_pred_3,13.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_0_pred_4,4.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_0_pred_5,1.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_0_pred_6,77.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_0_pred_7,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_0_pred_8,7.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_0_pred_9,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_1_pred_0,2.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_1_pred_1,985.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_1_pred_2,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_1_pred_3,8.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_1_pred_4,2.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_1_pred_5,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_1_pred_6,3.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_1_pred_7,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_1_pred_8,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_1_pred_9,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_2_pred_0,20.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_2_pred_1,2.0
